,pais,anio,inversion
455,PRY,2020,110.0731275
456,PER,2020,-416.5735892
457,PHL,2020,6822.13329
458,POL,2020,15195.4411343109
459,PRT,2020,7683.3262882265
460,QAT,2020,-2434.0659341
461,MDA,2020,150.12
462,ROU,2020,3432.3008637291
463,RUS,2020,10409.86811
464,RWA,2020,274.1226086
465,STP,2020,31.9548582
466,SAU,2020,5399.1570396
467,SEN,2020,1845.6638812822
468,SRB,2020,3863.3484750533
469,SYC,2020,164.5361902
470,SLE,2020,173.0
471,SGP,2020,72902.6876039144
472,SMX,2020,22.1674600559
473,SVK,2020,-2403.5431693215
474,SVN,2020,219.9992004624
475,SLB,2020,9.1334703612
476,ZAF,2020,3062.2564228128
477,ESP,2020,17948.1008696685
478,LKA,2020,434.0756685
479,PSE,2020,79.7449923
480,SUR,2020,0.3488434
481,SWZ,2020,35.8862050535
482,SWE,2020,21514.1533253662
483,CHE,2020,-50251.7302455363
484,THA,2020,-4950.9983569
485,tfyr_de_macedonia,2020,230.0606563519
486,TLS,2020,-804.7964807
487,TON,2020,4.2263883
488,TTO,2020,1055.7884544
489,TUN,2020,652.1218137947
490,UGA,2020,873.7697904
491,UKR,2020,-36.0
492,ARE,2020,19884.4686649
493,GBR,2020,58237.1794871795
494,USA,2020,95882.0
495,URY,2020,753.2187613
496,VEN,2020,-456.0
497,VNM,2020,15800.0
498,YEM,2020,
499,ZMB,2020,245.2054914
500,ZWE,2020,194.0
501,AFG,2021,20.6009761
502,ALB,2021,1233.9176859919
503,DZA,2021,869.65657
504,AGO,2021,-4355.1165527
505,ARG,2021,6782.3488872
506,ARM,2021,366.4452148
507,ABW,2021,143.047538324
508,AUS,2021,20898.8119204582
509,AUT,2021,13493.6483416795
510,AZE,2021,-1707.7
511,BHS,2021,1185.0
512,BHR,2021,1779.1755319149
513,BGD,2021,2895.56
514,BRB,2021,238.7350643
515,BLR,2021,1238.41386
516,BEL,2021,11587.3087212919
517,BLZ,2021,125.495495
518,BEN,2021,345.9852355953
519,BMU,2021,1.5314229
520,BOL,2021,583.5764247
521,BIH,2021,587.3158814131
522,BWA,2021,-318.8719495569
523,BRA,2021,50651.1702806
524,VGB,2021,39361.4984103
525,BRN,2021,204.7493272471
526,BGR,2021,1892.4481095076
527,BFA,2021,-79.9573553438
528,BDI,2021,9.9335399547
529,CPV,2021,104.2537361546
530,KHM,2021,3483.4616057
531,CMR,2021,963.5315035
532,CAN,2021,65658.7528122774
533,CYM,2021,25893.0892074
534,CAF,2021,5.4099802504
535,TCD,2021,705.1007593043
536,CHL,2021,13193.9758052
537,CHN,2021,180957.2149443
538,HKG,2021,140186.022577429
539,MAC,2021,4771.0758010836
540,TWN,2021,5416.0
541,COL,2021,9381.29061
